"As Of Date","Time Series","Value (millions)"
"2023-11-01","PDSORA-CBSPUTST","163"
"2023-11-01","PDSORA-CBSPUTSTTAG30","*"
"2023-11-01","PDSORA-CBSPUTSTTAL30","*"
"2023-11-01","PDSORA-CBSUTSET","322063"
"2023-11-01","PDSORA-CBSUTSETTAG30","41173"
"2023-11-01","PDSORA-CBSUTSETTAL30","12596"
"2023-11-01","PDSORA-CBSUTST","19817"
"2023-11-01","PDSORA-CBSUTSTTAG30","*"
"2023-11-01","PDSORA-CBSUTSTTAL30","0"
"2023-11-01","PDSORA-CDC","-154"
"2023-11-01","PDSORA-CDTOT","88730"
"2023-11-01","PDSORA-EC","261"
"2023-11-01","PDSORA-ETOT","61723"
"2023-11-01","PDSORA-FGCMC","*"
"2023-11-01","PDSORA-FGCMTOT","*"
"2023-11-01","PDSORA-FGEMC","4114"
"2023-11-01","PDSORA-FGEMTOT","21326"
"2023-11-01","PDSORA-FGMC","-9356"
"2023-11-01","PDSORA-FGMTOT","580865"
"2023-11-01","PDSORA-GCFABS","0"
"2023-11-01","PDSORA-GCFABSTAG30","0"
"2023-11-01","PDSORA-GCFABSTAL30","0"
"2023-11-01","PDSORA-GCFCD","0"
"2023-11-01","PDSORA-GCFCDTAG30","0"
"2023-11-01","PDSORA-GCFCDTAL30","0"
"2023-11-01","PDSORA-GCFE","0"
"2023-11-01","PDSORA-GCFETAG30","0"
"2023-11-01","PDSORA-GCFETAL30","0"
"2023-11-01","PDSORA-GCFFGCM","0"
"2023-11-01","PDSORA-GCFFGCMTAG30","0"
"2023-11-01","PDSORA-GCFFGCMTAL30","0"
"2023-11-01","PDSORA-GCFFGEM","0"
"2023-11-01","PDSORA-GCFFGEMTAG30","0"
"2023-11-01","PDSORA-GCFFGEMTAL30","0"
"2023-11-01","PDSORA-GCFFGM","45464"
"2023-11-01","PDSORA-GCFFGMTAG30","25850"
"2023-11-01","PDSORA-GCFFGMTAL30","*"
"2023-11-01","PDSORA-GCFO","0"
"2023-11-01","PDSORA-GCFOTAG30","0"
"2023-11-01","PDSORA-GCFOTAL30","0"
"2023-11-01","PDSORA-GCFUTSET","12763"
"2023-11-01","PDSORA-GCFUTSETTAG30","20180"
"2023-11-01","PDSORA-GCFUTSETTAL30","*"
"2023-11-01","PDSORA-GCFUTST","*"
"2023-11-01","PDSORA-GCFUTSTTAG30","0"
"2023-11-01","PDSORA-GCFUTSTTAL30","0"
"2023-11-01","PDSORA-OC","-484"
"2023-11-01","PDSORA-OTOT","41753"
"2023-11-01","PDSORA-TRIABS","9501"
"2023-11-01","PDSORA-TRIABSTAG30","2786"
"2023-11-01","PDSORA-TRIABSTAL30","*"
"2023-11-01","PDSORA-TRICD","42987"
"2023-11-01","PDSORA-TRICDTAG30","22802"
"2023-11-01","PDSORA-TRICDTAL30","800"
"2023-11-01","PDSORA-TRIE","27292"
"2023-11-01","PDSORA-TRIETAG30","31433"
"2023-11-01","PDSORA-TRIETAL30","0"
"2023-11-01","PDSORA-TRIFGCM","5009"
"2023-11-01","PDSORA-TRIFGCMTAG30","2745"
"2023-11-01","PDSORA-TRIFGCMTAL30","28"
"2023-11-01","PDSORA-TRIFGEM","18008"
"2023-11-01","PDSORA-TRIFGEMTAG30","2545"
